OrderDetailID,OrderID,ProductID,Quantity,Price
301,289,8389,9,57822
302,4434,3813,6,154651
303,9689,1530,2,139468
304,3787,3006,7,18471
305,4411,8167,1,97579
306,5869,5242,1,80539
307,8191,2584,7,71001
308,7940,9341,5,163162
309,3041,1969,8,21930
310,9805,1777,9,103177
311,5079,3601,6,48961
312,1526,9119,5,31801
313,3653,1739,1,42144
314,1092,5760,7,127050
315,2923,5359,4,118342
316,4506,9018,4,70081
317,2488,5588,6,96067
318,4581,8036,9,24262
319,7823,6031,1,144816
320,5847,8023,1,87237
321,2359,6545,8,30704
322,7648,4099,2,175054
323,2403,7047,10,138111
324,9669,5480,10,154265
325,4668,7176,3,52225
326,2765,1527,5,90989
327,9387,5133,5,129710
328,3707,6471,6,6526
329,5106,4894,7,167873
330,3873,2852,2,159905
331,582,6555,2,98717
332,227,8494,1,16053
333,9960,2222,6,110526
334,4810,6934,1,12975
335,3619,9998,3,44233
336,9463,8739,8,28596
337,4239,3554,9,188050
338,4822,3957,1,196177
339,10143,789,7,21431
340,3015,7015,4,191105
341,4411,3404,5,173325
342,4802,6318,2,167341
343,3825,507,10,16688
344,5568,7785,1,26168
345,234,8155,1,1304
346,202,5374,10,157554
347,4527,2424,10,195233
348,4830,3998,7,35062
349,4403,7308,9,188338
350,9836,8295,5,115169
351,9780,7499,1,12067
352,7018,3543,1,132967
353,3961,3169,1,50744
354,2914,406,6,54743
355,1608,2099,3,88445
356,2219,2823,2,183243
357,9130,4624,4,102325
358,3087,2378,1,39156
359,6066,8052,3,153668
360,9607,2936,2,133757
361,1312,3774,7,126100
362,5455,8674,10,70830
363,1384,7499,7,181955
364,2259,9267,4,153804
365,3330,7004,2,104411
366,977,2189,9,192675
367,3851,7642,7,102853
368,2734,4160,10,100396
369,7157,558,2,150992
370,3095,9509,8,47208
371,926,233,1,70957
372,5486,3079,6,167454
373,9743,3172,2,116088
374,9126,3849,1,122347
375,5182,8876,10,44417
376,2462,520,8,130254
377,6425,529,4,172644
378,3452,2911,2,102152
379,309,5617,5,126171
380,5845,6682,5,119723
381,5979,1842,8,72242
382,1326,9591,4,134686
383,9224,4420,5,147191
384,8111,2260,1,149508
385,6508,3558,10,65131
386,8932,9820,5,32740
387,2716,4972,3,37513
388,1518,6609,3,49716
389,1054,2723,9,121542
390,3470,8599,4,180606
391,10131,8083,7,118148
392,4166,8330,7,106000
393,683,2096,10,154308
394,9126,1381,5,185201
395,8131,471,8,53965
396,2515,8191,8,171025
397,1731,2630,6,172072
398,1474,9107,8,24017
399,1412,8490,2,35963
400,4932,6643,5,110400
401,7784,9531,3,181635
402,6259,3198,1,71588
403,4206,1301,6,33670
404,335,986,4,125772
405,3847,3186,8,47077
406,3282,5092,4,101037
407,7339,8965,9,23102
408,9635,475,9,167249
409,5471,8055,7,116943
410,3035,5800,2,158834
411,681,8284,7,190033
412,7881,2924,1,177943
413,3561,774,3,17630
414,4402,2768,6,77955
415,4283,1627,9,16811
416,3988,9025,7,173148
417,1439,4693,9,152887
418,3502,3851,4,167089
419,9833,5327,7,141881
420,8762,8268,9,183464
421,5485,2102,2,73731
422,8416,1944,6,167126
423,4808,2921,2,72516
424,3252,4594,5,189343
425,1315,6500,10,185422
426,2005,2343,5,84180
427,3278,9758,9,159695
428,2220,758,8,66460
429,10036,7220,10,163798
430,1236,4568,3,159844
