OrderID,CustomerID,OrderDate,TotalAmount,PaymentMethod,Status
201,8093,2023-07-04,166648,Credit Card,Shipped
202,4795,2023-11-11,74299,Net Banking,Shipped
203,8643,2023-09-21,197792,Net Banking,Cancelled
204,1890,2023-05-02,129677,Credit Card,Cancelled
205,6141,2023-12-02,133964,Net Banking,Delivered
206,491,2024-12-08,98123,Debit Card,Shipped
207,1766,2024-06-20,153566,Debit Card,Processing
208,7007,2024-06-28,137499,UPI,Delivered
209,2652,2023-09-25,153335,UPI,Cancelled
210,8141,2023-05-04,131366,Debit Card,Cancelled
211,6051,2024-07-06,68095,Net Banking,Processing
212,8323,2024-06-24,152325,UPI,Delivered
213,238,2023-10-25,40544,UPI,Shipped
214,4709,2023-03-04,56517,Net Banking,Shipped
215,7186,2024-11-17,36483,UPI,Cancelled
216,1581,2024-06-13,35161,Credit Card,Cancelled
217,8804,2023-10-14,57629,Net Banking,Delivered
218,1545,2023-09-04,40887,Credit Card,Cancelled
219,2102,2024-08-16,56004,Debit Card,Delivered
220,9204,2023-05-07,143233,UPI,Delivered
221,8765,2024-01-17,123753,Debit Card,Cancelled
222,2770,2023-05-08,162818,Debit Card,Processing
223,486,2024-12-27,192536,Debit Card,Delivered
224,2504,2023-01-30,120419,Credit Card,Delivered
225,3117,2023-11-21,172126,Credit Card,Delivered
226,2902,2024-02-03,119644,Credit Card,Cancelled
227,3194,2023-10-25,103151,UPI,Cancelled
228,8905,2023-09-18,77203,Debit Card,Cancelled
229,7025,2024-03-06,96015,Debit Card,Processing
230,6062,2024-09-29,165721,Net Banking,Processing
231,2046,2023-08-07,13694,Net Banking,Delivered
232,7489,2024-07-08,138100,Credit Card,Delivered
233,7637,2023-05-11,109063,UPI,Cancelled
234,9080,2023-05-05,195580,UPI,Shipped
235,8096,2024-03-15,187284,Credit Card,Processing
236,243,2024-05-23,49955,Net Banking,Delivered
237,9358,2024-01-17,137051,Credit Card,Cancelled
238,3157,2023-03-12,155136,UPI,Processing
239,4112,2023-07-06,187988,Net Banking,Delivered
240,4252,2024-06-13,157936,Credit Card,Processing
241,5124,2023-09-16,140719,UPI,Shipped
242,1193,2024-08-06,12942,Net Banking,Shipped
243,8193,2023-06-21,132821,Debit Card,Delivered
244,3910,2024-04-12,103783,Net Banking,Processing
245,3262,2024-12-19,154899,UPI,Delivered
246,6480,2023-10-31,6481,Net Banking,Cancelled
247,9598,2024-07-14,89811,UPI,Processing
248,6224,2024-03-28,186545,Debit Card,Cancelled
249,9745,2023-06-04,83567,Credit Card,Processing
250,1507,2023-08-22,133655,Net Banking,Processing
251,4222,2023-05-03,118242,Debit Card,Processing
252,5568,2024-06-02,34134,UPI,Processing
253,2577,2024-08-04,22101,UPI,Cancelled
254,9433,2024-05-04,143470,Debit Card,Delivered
255,75,2023-07-10,136126,Credit Card,Processing
256,8466,2024-09-12,131887,Debit Card,Delivered
257,4401,2024-06-30,113243,Credit Card,Processing
258,3425,2023-06-16,165516,Net Banking,Processing
259,7469,2023-03-07,191318,Debit Card,Processing
260,3960,2023-03-12,190800,Credit Card,Delivered
261,1351,2024-08-25,162305,UPI,Cancelled
262,5477,2024-08-11,108831,Credit Card,Shipped
263,2240,2024-12-27,193167,Net Banking,Shipped
264,2116,2023-08-30,121524,UPI,Processing
265,3843,2024-04-08,19045,UPI,Shipped
266,7047,2023-02-15,64672,Debit Card,Processing
267,6726,2024-04-05,67619,Debit Card,Cancelled
268,2581,2025-01-03,34657,Net Banking,Shipped
269,7927,2024-04-15,153217,Net Banking,Cancelled
270,2886,2023-10-14,76162,UPI,Cancelled
271,3487,2023-06-15,152458,Debit Card,Cancelled
272,9402,2024-01-16,108867,Credit Card,Cancelled
273,4853,2024-12-24,117232,Credit Card,Cancelled
274,8728,2023-03-09,143078,UPI,Delivered
275,2179,2023-02-01,146996,Net Banking,Delivered
276,279,2024-09-12,184464,UPI,Shipped
277,7662,2024-08-26,23335,Credit Card,Cancelled
278,3862,2023-08-30,102666,Debit Card,Processing
279,6327,2023-10-21,110726,UPI,Processing
280,6762,2023-08-11,72009,Debit Card,Cancelled
281,9455,2023-02-03,39832,Debit Card,Processing
282,813,2024-08-26,190951,Net Banking,Cancelled
283,1548,2024-08-07,3477,Credit Card,Cancelled
284,3320,2023-11-18,158553,Net Banking,Processing
285,4415,2023-10-08,100565,Credit Card,Processing
286,5935,2023-03-19,40748,Debit Card,Processing
287,5960,2024-03-28,35882,Credit Card,Shipped
288,5138,2023-08-27,23607,Debit Card,Delivered
289,3283,2024-06-13,123420,Debit Card,Delivered
290,492,2023-02-18,74126,Credit Card,Cancelled
291,8538,2024-10-29,49237,Debit Card,Cancelled
292,9740,2024-04-05,102562,UPI,Cancelled
293,804,2023-08-02,41750,Net Banking,Cancelled
294,7035,2023-05-11,152720,Credit Card,Processing
295,5167,2023-04-13,31336,Net Banking,Cancelled
296,2282,2023-01-28,147796,UPI,Shipped
297,6192,2023-03-09,184037,Credit Card,Cancelled
298,869,2023-06-10,97010,Net Banking,Delivered
299,755,2024-03-11,3914,Net Banking,Cancelled
300,8828,2024-12-12,122891,Credit Card,Shipped
301,7113,2024-03-04,157068,Net Banking,Shipped
302,1113,2023-04-26,85750,UPI,Delivered
303,9915,2023-06-17,37928,Net Banking,Processing
304,9645,2023-04-06,68672,UPI,Cancelled
305,8868,2024-09-26,55289,Net Banking,Delivered
306,2902,2024-11-19,68174,Credit Card,Processing
307,5999,2023-12-15,110577,Credit Card,Shipped
308,9023,2024-03-02,66961,Debit Card,Processing
309,3566,2023-07-13,131173,Debit Card,Shipped
310,4752,2023-07-24,161852,Net Banking,Shipped
311,5149,2023-11-02,157562,Credit Card,Delivered
312,5923,2024-08-20,81185,Credit Card,Cancelled
313,3060,2024-02-17,126138,Net Banking,Cancelled
314,6542,2023-08-12,163951,Debit Card,Processing
315,1093,2023-11-15,189366,Net Banking,Delivered
316,8759,2024-02-19,62798,Net Banking,Shipped
317,6019,2023-10-31,177218,Credit Card,Shipped
318,4382,2024-04-15,134031,Net Banking,Shipped
319,282,2023-09-07,94475,Credit Card,Shipped
320,1668,2024-03-10,49254,Net Banking,Shipped
321,5541,2023-06-09,148901,Debit Card,Processing
322,1578,2023-02-16,21767,Credit Card,Delivered
323,839,2023-06-08,62128,Debit Card,Delivered
324,3821,2024-04-30,48524,Net Banking,Delivered
325,8724,2023-05-31,120213,UPI,Processing
326,205,2024-03-12,133080,UPI,Delivered
327,2786,2023-11-23,10290,Credit Card,Cancelled
328,2276,2023-05-23,176795,Debit Card,Cancelled
329,9859,2023-05-16,140685,UPI,Processing
330,792,2023-12-24,118897,Credit Card,Shipped
331,3792,2024-07-03,188197,Net Banking,Delivered
332,1472,2024-05-07,160822,Net Banking,Processing
333,5314,2024-05-05,119556,Net Banking,Shipped
334,9947,2023-06-02,160605,Credit Card,Processing
335,1064,2024-10-29,79985,Net Banking,Delivered
336,250,2023-08-07,125890,Net Banking,Cancelled
337,7008,2023-03-14,93460,Debit Card,Processing
338,9002,2023-07-26,44534,Debit Card,Shipped
339,9422,2023-12-15,58651,Debit Card,Shipped
340,7644,2024-06-03,71570,UPI,Cancelled
341,4940,2023-04-19,83925,Net Banking,Processing
342,1990,2023-07-31,132900,Debit Card,Processing
343,7267,2023-09-07,100527,UPI,Delivered
344,2699,2024-03-07,103147,Net Banking,Processing
345,9633,2023-05-03,93053,Credit Card,Processing
346,2357,2024-02-26,110637,UPI,Delivered
347,6817,2023-03-17,15224,Net Banking,Shipped
348,4900,2024-10-28,147239,UPI,Processing
349,2865,2024-04-14,122359,Net Banking,Shipped
350,2897,2024-10-15,136118,Credit Card,Processing
351,7164,2023-01-29,52684,UPI,Processing
352,8794,2023-07-24,160335,UPI,Cancelled
353,4128,2024-05-28,112110,Net Banking,Processing
354,634,2024-06-19,1981,UPI,Delivered
355,9681,2024-05-23,28039,Net Banking,Delivered
356,8123,2023-02-06,22350,Credit Card,Processing
357,295,2024-09-13,186379,UPI,Processing
358,1995,2023-05-14,18498,Debit Card,Delivered
359,7219,2023-12-12,28435,UPI,Shipped
360,1376,2023-05-18,133532,UPI,Shipped
361,3186,2023-04-12,62268,Debit Card,Cancelled
362,1701,2024-04-29,138934,UPI,Delivered
363,996,2024-03-31,40020,Debit Card,Delivered
364,8853,2023-09-10,196457,UPI,Delivered
365,6909,2023-04-13,136112,Net Banking,Shipped
366,9283,2023-12-07,133475,Net Banking,Processing
367,2389,2023-05-22,61962,Debit Card,Delivered
368,1707,2023-01-10,170072,UPI,Delivered
369,6750,2023-09-02,6023,Debit Card,Shipped
370,1145,2024-02-07,130870,Credit Card,Processing
371,836,2024-02-29,83854,Net Banking,Processing
372,6939,2024-04-03,117483,UPI,Processing
373,6992,2024-01-20,194400,Net Banking,Processing
374,3352,2024-11-10,152956,UPI,Processing
375,9002,2023-02-16,5555,Debit Card,Processing
376,6960,2024-03-26,90876,UPI,Processing
377,6566,2024-10-09,53883,UPI,Processing
378,1216,2024-04-03,62390,UPI,Delivered
379,9462,2023-08-23,130396,Net Banking,Cancelled
380,3729,2024-01-09,85748,Net Banking,Cancelled
381,5277,2023-08-11,79902,Credit Card,Shipped
382,1622,2024-07-05,31256,Credit Card,Delivered
383,5553,2023-01-17,112996,Credit Card,Shipped
384,4033,2024-01-11,94520,Net Banking,Shipped
385,618,2024-02-28,143590,Net Banking,Shipped
386,5680,2023-05-23,58551,Net Banking,Delivered
387,8007,2023-04-28,28374,Credit Card,Cancelled
388,9830,2024-12-25,65134,Credit Card,Processing
389,8208,2024-01-16,166764,Net Banking,Processing
390,3017,2023-08-12,155882,UPI,Delivered
391,4616,2023-04-14,89035,Credit Card,Cancelled
392,3504,2024-08-14,192714,Credit Card,Cancelled
393,6318,2024-11-21,92699,Debit Card,Processing
394,6329,2023-10-07,122495,Debit Card,Shipped
395,7760,2024-02-18,169148,Net Banking,Shipped
396,745,2024-08-21,165082,Net Banking,Shipped
397,1873,2023-03-14,35264,Credit Card,Cancelled
398,5830,2024-05-25,46320,Debit Card,Shipped
399,2534,2023-02-19,185127,Debit Card,Shipped
400,4163,2024-11-11,75853,Debit Card,Shipped
401,7518,2023-09-13,168558,Credit Card,Processing
402,5183,2024-08-21,50947,UPI,Cancelled
403,722,2025-01-04,182599,Net Banking,Delivered
404,3540,2024-10-30,184944,Net Banking,Cancelled
405,6935,2024-09-18,98308,UPI,Delivered
406,8419,2023-02-08,141293,Net Banking,Processing
407,3542,2023-11-20,110483,Credit Card,Delivered
408,8752,2023-04-14,180969,Debit Card,Cancelled
409,890,2024-03-30,137157,Credit Card,Delivered
410,1878,2023-06-01,105469,Net Banking,Cancelled
411,8652,2023-10-06,104006,Credit Card,Cancelled
412,8085,2024-06-02,170587,UPI,Delivered
413,3365,2024-09-01,90435,Net Banking,Cancelled
414,7389,2024-10-06,69341,Credit Card,Delivered
415,5531,2023-02-12,119142,Credit Card,Shipped
416,2905,2023-12-17,45730,Debit Card,Delivered
417,9520,2024-10-12,53626,Net Banking,Cancelled
418,4133,2023-05-19,190745,Debit Card,Processing
419,3272,2024-11-17,44628,Credit Card,Shipped
420,3091,2023-02-01,187920,Net Banking,Processing
421,3238,2023-08-24,133100,Debit Card,Delivered
422,3909,2025-01-05,140111,Debit Card,Shipped
423,8767,2024-09-27,15993,UPI,Delivered
424,8398,2023-11-18,101538,Debit Card,Delivered
425,3078,2023-06-22,32283,Credit Card,Cancelled
426,2581,2023-01-26,48831,Credit Card,Processing
427,4352,2023-05-31,47964,Credit Card,Shipped
428,5056,2024-10-03,44026,Credit Card,Cancelled
429,9225,2024-05-22,173598,UPI,Delivered
430,9782,2024-09-13,109833,Debit Card,Delivered
431,4056,2024-11-03,51508,Net Banking,Processing
432,1526,2023-12-02,7692,Net Banking,Shipped
433,1926,2023-02-23,75703,UPI,Processing
434,8922,2023-10-09,103291,UPI,Processing
435,2968,2024-10-07,167495,Net Banking,Delivered
436,3210,2024-05-04,26527,Credit Card,Shipped
437,8548,2024-03-19,76279,UPI,Processing
438,8745,2024-08-24,76538,UPI,Cancelled
439,6885,2023-05-11,60425,Net Banking,Delivered
440,6293,2023-12-14,62046,Credit Card,Shipped
441,4541,2023-06-13,87507,Credit Card,Cancelled
442,5940,2023-06-29,129673,Credit Card,Processing
443,1779,2023-07-26,199842,Debit Card,Processing
444,1210,2024-01-12,198526,Credit Card,Cancelled
445,4003,2024-02-14,68606,UPI,Cancelled
446,6236,2023-12-21,198710,Credit Card,Delivered
447,2485,2023-08-17,164162,UPI,Shipped
448,5257,2024-10-03,47976,Net Banking,Shipped
449,4306,2024-05-13,168882,Net Banking,Cancelled
450,9547,2024-10-18,52361,Debit Card,Delivered
451,1479,2023-07-20,34818,Net Banking,Shipped
452,3914,2023-09-12,15709,Debit Card,Processing
453,2649,2023-11-09,48014,Debit Card,Shipped
454,7998,2023-09-08,98550,Debit Card,Cancelled
455,9416,2024-02-22,58239,Net Banking,Cancelled
456,6048,2024-12-04,145038,UPI,Delivered
457,7507,2023-06-13,76527,Net Banking,Cancelled
458,7403,2024-01-24,186759,Debit Card,Processing
459,1642,2023-12-23,15054,Credit Card,Cancelled
460,9243,2024-09-02,55143,Net Banking,Shipped
461,8195,2024-02-05,87880,Net Banking,Cancelled
462,9920,2023-06-25,50926,Debit Card,Cancelled
463,3802,2025-01-05,180393,UPI,Cancelled
464,8733,2024-08-14,149511,Net Banking,Cancelled
465,2893,2023-11-19,14031,Net Banking,Shipped
466,6084,2023-03-17,651,Credit Card,Processing
467,2183,2024-07-25,73647,Net Banking,Cancelled
468,6668,2023-04-13,120387,UPI,Delivered
469,2834,2023-08-09,140754,Credit Card,Cancelled
470,7694,2024-11-12,11246,Credit Card,Shipped
471,9778,2023-07-19,125967,UPI,Shipped
472,2188,2024-10-21,161747,Credit Card,Processing
473,4486,2023-10-06,16967,Debit Card,Cancelled
474,4714,2023-04-07,83761,Net Banking,Shipped
475,7960,2023-07-21,62623,Credit Card,Cancelled
476,5325,2023-09-18,161405,Credit Card,Shipped
477,9261,2024-03-13,126648,Net Banking,Shipped
478,476,2023-03-08,164146,Credit Card,Shipped
479,3701,2023-09-20,179904,Debit Card,Cancelled
480,1160,2024-01-19,70980,Credit Card,Processing
481,5795,2024-01-05,91746,Debit Card,Cancelled
482,1610,2024-05-05,28143,Net Banking,Processing
483,2654,2024-03-04,165682,Credit Card,Delivered
484,7457,2024-01-11,192285,Credit Card,Cancelled
485,9826,2023-09-01,8767,Credit Card,Shipped
486,1180,2023-08-07,42412,Debit Card,Processing
487,8076,2023-08-01,132560,Credit Card,Shipped
488,2060,2023-12-01,83107,Net Banking,Processing
489,8433,2024-12-01,29654,UPI,Processing
490,7847,2023-06-10,177631,UPI,Processing
491,827,2023-08-11,54757,Net Banking,Cancelled
492,527,2023-07-07,155210,Net Banking,Cancelled
493,8745,2024-08-05,40581,Net Banking,Cancelled
494,2244,2024-12-27,147823,Credit Card,Processing
495,2064,2023-10-02,73277,Debit Card,Shipped
496,7719,2023-04-03,135025,Debit Card,Shipped
497,6841,2023-06-27,79746,UPI,Delivered
498,6615,2024-08-12,46946,Credit Card,Shipped
499,8239,2024-04-09,95872,Credit Card,Delivered
500,4426,2024-04-22,149127,UPI,Cancelled
501,5721,2024-06-17,7444,Debit Card,Processing
502,6165,2023-12-13,190103,Debit Card,Delivered
503,6795,2023-03-30,173097,Credit Card,Processing
504,6387,2024-10-03,91461,Debit Card,Cancelled
505,2137,2023-03-10,30433,Debit Card,Delivered
506,9744,2024-09-07,190559,UPI,Shipped
507,6676,2024-05-13,180467,Credit Card,Processing
508,1103,2023-06-16,47582,Credit Card,Processing
509,497,2023-06-01,45627,UPI,Delivered
510,780,2023-05-10,83360,UPI,Delivered
511,855,2023-10-14,155559,UPI,Processing
512,5225,2023-07-27,50671,Credit Card,Shipped
513,6258,2023-02-09,12798,Credit Card,Cancelled
514,5700,2023-05-17,119378,Net Banking,Shipped
515,4008,2023-08-20,135273,UPI,Delivered
516,8404,2024-05-06,36759,UPI,Shipped
517,1634,2023-05-23,21364,Credit Card,Processing
518,2301,2023-12-19,196279,Net Banking,Processing
519,1696,2024-11-07,146366,UPI,Shipped
520,5800,2024-01-07,135073,Net Banking,Processing
521,1254,2023-11-23,96412,Debit Card,Processing
522,3921,2023-04-19,180258,Credit Card,Shipped
523,3081,2023-09-03,83987,UPI,Delivered
524,6695,2024-02-06,72384,Credit Card,Processing
525,2968,2023-06-10,86189,Debit Card,Delivered
526,8847,2023-01-18,84126,Net Banking,Shipped
527,8188,2023-09-01,187788,Credit Card,Shipped
528,2866,2024-05-25,178230,Credit Card,Processing
